day,susceptible,infected,recovered,deceased,vaccinated
0,980000,20000,0,0,0
1,975648,24352,0,0,0
2,970365,29635,0,0,0
3,963855,36145,0,0,0
4,956025,43975,0,0,0
5,946931,53069,0,0,0
6,935915,64085,0,0,0
7,922585,77415,0,0,0
8,906653,93347,0,0,0
9,887873,112127,0,0,0
10,865894,134106,0,0,0
11,843926,136074,19975,25,0
12,819178,156470,24327,25,0
13,791724,178641,29607,28,0
14,762001,201854,36112,33,0
15,730138,225887,43931,44,0
16,695764,251167,53016,53,0
17,659377,276538,64019,66,0
18,622197,300388,77335,80,0
19,584156,322497,93250,97,0
20,546224,341649,112011,116,0
21,509122,356772,133974,132,0
22,473034,370892,155914,160,0
23,438549,380629,180632,190,0
24,406002,385722,208062,214,0
25,375724,386277,237755,244,0
26,348057,382081,269584,278,0
27,322872,372892,303921,315,0
28,300341,359036,340279,344,0
29,298725,343447,357446,382,0
30,283966,324517,391093,424,0
31,272200,303631,423704,465,0
32,263332,281902,454264,502,0
33,257202,259763,482508,527,0
34,253872,237693,507881,554,0
35,253653,216368,529398,581,0
36,256899,196160,546338,603,0
37,263369,177938,558057,636,0
38,273255,161628,564451,666,0
39,286668,147647,564990,695,0
40,300380,134284,564613,723,0
41,317259,123012,558989,740,0
42,336979,113676,548587,758,0
43,359234,105741,534249,776,0
44,383361,99494,516355,790,0
45,410102,94675,494415,808,0
46,438608,91305,469271,816,0
47,467531,89454,442183,832,0
48,496878,88661,413619,842,0
49,525727,88828,384596,849,0
50,553201,89869,356074,856,0
51,578923,91982,328227,868,0
52,602425,95099,301599,877,0
53,622847,99487,276781,885,0
54,639849,105303,253952,896,0
55,653573,111511,234013,903,0
56,663494,119149,216447,910,0
57,669446,127847,201784,923,0
58,673109,137528,188430,933,0
59,672696,148383,177976,945,0
60,668974,160091,169981,954,0
61,662243,172586,164208,963,0
62,652488,185935,160600,977,0
63,639702,200162,159142,994,0
64,624196,214784,160015,1005,0
65,606577,229203,163205,1015,0
66,587448,243857,167665,1030,0
67,567195,257744,174016,1045,0
68,546086,270846,182012,1056,0
69,524691,282557,191677,1075,0
70,502902,292669,203338,1091,0
71,481067,301456,216368,1109,0
72,459700,308164,231005,1131,0
73,439492,312377,246976,1155,0
74,420289,313986,264539,1186,0
75,402270,313124,283406,1200,0
76,386154,309776,302838,1232,0
77,371724,304282,322741,1253,0
78,358841,297077,342803,1279,0
79,347849,287999,362850,1302,0
80,338801,277763,382104,1332,0
81,331819,266065,400763,1353,0
82,327008,253426,418178,1388,0
83,324484,240400,433699,1417,0
84,323306,227570,447676,1448,0
85,324376,214927,459225,1472,0
86,327631,202353,468512,1504,0
87,332749,190791,474931,1529,0
88,340012,179949,478494,1545,0
89,348969,169808,479651,1572,0
90,359316,160951,478148,1585,0
91,375101,149457,473845,1597,500000
92,392590,139199,466598,1613,500000
93,411714,129883,456783,1620,500000
94,431991,121479,444904,1626,500000
95,453304,113636,431424,1636,500000
96,475457,106429,416468,1646,500000
97,498120,100111,400112,1657,500000
98,520835,94214,383283,1668,500000
99,543685,88734,365905,1676,500000
100,566530,83616,348172,1682,500000
101,588797,78397,331115,1691,500000
102,610227,76958,311115,1700,500000
103,630423,75867,292005,1705,500000
104,649523,75011,273756,1710,500000
105,667020,74450,256818,1712,500000
106,683192,74102,240991,1715,500000
107,698024,74217,226037,1722,500000
108,711466,74370,212438,1726,500000
109,723404,74929,199936,1731,500000
110,733859,75631,188776,1734,500000
111,743014,76710,178538,1738,500000
112,750707,78281,169268,1744,500000
113,757588,80021,160639,1752,500000
114,763406,81770,153068,1756,500000
115,767796,83927,146513,1764,500000
116,771652,86020,140559,1769,500000
117,774760,88250,135217,1773,500000
118,777147,90575,130501,1777,500000
119,779285,93026,125904,1785,500000
120,777175,95583,125456,1786,500000
121,774698,98268,125240,1794,500000
122,772020,100787,125392,1801,500000
123,768789,103311,126096,1804,500000
124,765166,105979,127047,1808,500000
125,761084,108675,128425,1816,500000
126,756761,111077,130341,1821,500000
127,752293,113510,132367,1830,500000
128,747378,116058,134730,1834,500000
129,742198,118509,137454,1839,500000
130,736893,120736,140525,1846,500000
131,731518,122563,144069,1850,500000
132,726202,124312,147627,1859,500000
133,720803,126174,151158,1865,500000
134,715338,127844,154950,1868,500000
135,709999,129211,158918,1872,500000
136,704991,130255,162876,1878,500000
137,700060,131012,167042,1886,500000
138,695394,131773,170940,1893,500000
139,690604,132345,175146,1905,500000
140,686325,132520,179239,1916,500000
141,682211,132903,182962,1924,500000
142,678677,132806,186584,1933,500000
143,675196,132716,190145,1943,500000
144,672480,132193,193376,1951,500000
145,669633,131664,196735,1968,500000
146,667211,130977,199832,1980,500000
147,665186,130318,202507,1989,500000
148,663395,129630,204975,2000,500000
149,662155,128758,207079,2008,500000
150,661032,127775,209177,2016,500000
151,660375,126673,210925,2027,500000
152,660079,125379,212510,2032,500000
153,660210,124382,213369,2039,500000
154,660488,123321,214145,2046,500000
155,661063,122429,214455,2053,500000
156,661674,121406,214862,2058,500000
157,662806,120392,214735,2067,500000
158,664067,119551,214306,2076,500000
159,665516,118537,213862,2085,500000
160,666862,117773,213271,2094,500000
161,668525,116735,212638,2102,500000
162,670340,116123,211430,2107,500000
163,672382,115441,210061,2116,500000
164,674352,114961,208567,2120,500000
165,676142,114490,207237,2131,500000
166,677891,114070,205902,2137,500000
167,679673,113659,204522,2146,500000
168,681572,113468,202808,2152,500000
169,683359,113117,201364,2160,500000
170,685338,112973,199521,2168,500000
171,686800,112762,198262,2176,500000
172,688310,112828,196679,2183,500000
173,689585,112846,195372,2197,500000
174,690979,112977,193837,2207,500000
175,692160,113082,192538,2220,500000
176,693246,113127,191396,2231,500000
177,694306,113130,190325,2239,500000
178,695013,113332,189408,2247,500000
179,695657,113604,188484,2255,500000
180,696165,113787,187785,2263,500000
